36024_at,lacrimal proline rich protein
36108_at," Cluster Incl M16276:Human MHC class II HLA-DR2-Dw12 mRNA DQw1-beta, complete cds /cds=UNKNOWN /gb=M16276 /gi=188397 /ug=Hs.73932 /len=1763 "
39542_at,ectodermal-neural cortex (with BTB-like domain)
31891_at,chitinase 3-like 2
31590_g_at,"gamma-aminobutyric acid (GABA) B receptor, 1"
40042_r_at,proline dehydrogenase (proline oxidase)
34110_g_at,proline oxidase homolog
31825_at,"serine (or cysteine) proteinase inhibitor, clade D (heparin cofactor), member 1"
1127_at,"ribosomal protein S6 kinase, 90kD, polypeptide 1"
35369_at,KIAA0937 protein
255_s_at,"inhibin, alpha"
38544_at,"inhibin, alpha"
35781_g_at,Cluster Incl AF035292:Homo sapiens clone 23584 mRNA sequence /cds=UNKNOWN /gb=AF035292 /gi=2661046 /ug=Hs.6654 /len=1685
35780_at,Cluster Incl AF035292:Homo sapiens clone 23584 mRNA sequence /cds=UNKNOWN /gb=AF035292 /gi=2661046 /ug=Hs.6654 /len=1685
36637_at,annexin A11
38766_at,Snf2-related CBP activator protein
38282_at,a disintegrin and metalloproteinase domain 15 (metargidin)
34371_at," Cluster Incl U79267:Human clone 23840 mRNA, partial cds /cds=(0,521) /gb=U79267 /gi=1710228 /ug=Hs.3382 /len=1516 "
38482_at,claudin 7
36950_at,gp25L2 protein
36185_at,alanyl-tRNA synthetase
36122_at,"proteasome (prosome, macropain) subunit, alpha type, 6"
37971_at,"bromodomain adjacent to zinc finger domain, 1A"
36060_at,signal recognition particle 54kD
1261_i_at,glutathione S-transferase A2
1695_at,"neural precursor cell expressed, developmentally down-regulated 8"
37666_at,"proteasome (prosome, macropain) subunit, beta type, 5"
37316_r_at," Cluster Incl AI057607:oy31e07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1667460 /clone_end=3'' /gb=AI057607 /gi=3331473 /ug=Hs.7731 /len=644'' "
34409_at,DKFZP564C1940 protein
36636_at,ornithine aminotransferase (gyrate atrophy)
37955_at,transmembrane protein 4
37032_at,nicotinamide N-methyltransferase
39842_at,cytokine receptor-like factor 1
1788_s_at,dual specificity phosphatase 4
33399_at," Cluster Incl AA142942:zl43c04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-504678 /clone_end=3'' /gb=AA142942 /gi=1712320 /ug=Hs.227146 /len=604'' "
1081_at,ornithine decarboxylase 1
36203_at,ornithine decarboxylase 1
35151_at,tumor suppressor deleted in oral cancer-related 1
39891_at," Cluster Incl AI246730:qk40b01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1871401 /clone_end=3'' /gb=AI246730 /gi=3842127 /ug=Hs.126901 /len=770'' "
32081_at,"citron (rho-interacting, serine/threonine kinase 21)"
35338_at,"paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)"
36676_at,growth hormone releasing hormone
36972_at,coated vesicle membrane protein
39791_at,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
39113_at," Cluster Incl AI262789:qk35e02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1870970 /clone_end=3'' /gb=AI262789 /gi=3870992 /ug=Hs.93659 /len=614'' "
442_at,tumor rejection antigen (gp96) 1
36615_at,Arginine-rich protein
35823_at,peptidylprolyl isomerase B (cyclophilin B)
38986_at,"glucose regulated protein, 58kD"
33863_at,oxygen regulated protein (150kD)
36614_at,"heat shock 70kD protein 5 (glucose-regulated protein, 78kD)"
38825_at,"fibrinogen, A alpha polypeptide"
37019_at,"fibrinogen, B beta polypeptide"
36622_at," Cluster Incl AI989422:ws25a09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2498200 /clone_end=3'' /gb=AI989422 /gi=5836345 /ug=Hs.75431 /len=785'' "
38435_at,thioredoxin peroxidase (antioxidant enzyme)
33213_g_at,ribosome binding protein 1 (dog 180kD homolog)
33212_at,ribosome binding protein 1 (dog 180kD homolog)
38969_at," Cluster Incl AI828168:wk32h09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2414081 /clone_end=3'' /gb=AI828168 /gi=5448839 /ug=Hs.10927 /len=759'' "
36300_at,"calcitonin/calcitonin-related polypeptide, alpha"
36299_at,"calcitonin/calcitonin-related polypeptide, alpha"
35343_at,"glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)"
32543_at,calreticulin
31504_at,high density lipoprotein binding protein (vigilin)
35326_at,putative transmembrane protein; homolog of yeast Golgi membrane protein Yif1p (Yip1p-interacting factor)
37741_at,pyrroline-5-carboxylate reductase 1
691_g_at,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"
36666_at," Cluster Incl M22806:Human prolyl 4-hydroxylase beta-subunit and disulfide isomerase (P4HB) gene /cds=(66,1592) /gb=M22806 /gi=487831 /ug=Hs.75655 /len=2438 "
35805_at," Cluster Incl AA447263:zw93f01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-784537 /clone_end=5'' /gb=AA447263 /gi=2159928 /ug=Hs.6880 /len=570'' "
36128_at," Cluster Incl L40397:Homo sapiens (clone S31i125) mRNA, 3 end of cds /cds=(0,404) /gb=L40397 /gi=887367 /ug=Hs.74137 /len=1385'' "
32149_at,Cluster Incl AA532495:nj54a10.s1 Homo sapiens cDNA /clone=IMAGE-996282 /gb=AA532495 /gi=2276749 /ug=Hs.183752 /len=549
41750_at,protein disulfide isomerase-related protein
37359_at,KIAA0102 gene product
660_at,"cytochrome P450, subfamily XXIV (vitamin D 24-hydroxylase)"
37821_at,breast carcinoma amplified sequence 1
40125_at,calnexin
34726_at," Cluster Incl U07139:Human voltage-gated calcium channel beta subunit mRNA, complete cds /cds=(34,1488) /gb=U07139 /gi=463890 /ug=Hs.239447 /len=2532 "
36496_at,inositol(myo)-1(or 4)-monophosphatase 2
39023_at,"isocitrate dehydrogenase 1 (NADP+), soluble"
37203_at,carboxylesterase 1 (monocyte/macrophage serine esterase 1)
33163_r_at,"glutamate-cysteine ligase, modifier subunit"
38773_at,carbonyl reductase 1
40031_at,aldehyde dehydrogenase 3
41213_at,peroxiredoxin 1
32392_s_at,"UDP glycosyltransferase 2 family, polypeptide B"
837_s_at," U43944 /FEATURE= /DEFINITION=HSU43944 Human breast cancer cytosolic NADP(+)-dependent malic enzyme mRNA, partial cds "
36992_at," Cluster Incl AI653621:tz21b11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2289213 /clone_end=3'' /gb=AI653621 /gi=4737600 /ug=Hs.76136 /len=598'' "
38882_r_at,estrogen-responsive B box protein
38881_i_at,estrogen-responsive B box protein
37482_at,"aldo-keto reductase family 1, member B11 (aldose reductase-like)"
35194_at," Cluster Incl X53463:Human mRNA for glutathione peroxidase-like protein /cds=(51,623) /gb=X53463 /gi=31894 /ug=Hs.2704 /len=951 "
36963_at,phosphogluconate dehydrogenase
39425_at,thioredoxin reductase 1
38066_at,diaphorase (NADH/NADPH) (cytochrome b-5 reductase)
35214_at,UDP-glucose dehydrogenase
37399_at," Cluster Incl D17793:Human mRNA for KIAA0119 gene, complete cds /cds=(51,1022) /gb=D17793 /gi=457407 /ug=Hs.78183 /len=1204 "
32805_at,"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"
37311_at,transaldolase 1
31850_at,"glutamate-cysteine ligase, catalytic subunit"
40898_at,sequestosome 1
38789_at,transketolase (Wernicke-Korsakoff syndrome)
829_s_at,glutathione S-transferase pi
33396_at,glutathione S-transferase pi
36200_at,ankyrin repeat-containing protein
36795_at,prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
35083_at,ring finger protein 24
40388_at,"discs, large (Drosophila) homolog-associated protein 1"
33943_at,"ferritin, heavy polypeptide 1"
31697_s_at,"ferritin, heavy polypeptide pseudogene 1"
35311_at,cellular repressor of E1A-stimulated genes
40297_at,six transmembrane epithelial antigen of the prostate
39008_at,ceruloplasmin (ferroxidase)
41471_at," Cluster Incl W72424:zd66a09.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345592 /clone_end=3'' /gb=W72424 /gi=1382379 /ug=Hs.112405 /len=604'' "
41096_at," Cluster Incl AI126134:qd77c05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1735496 /clone_end=3'' /gb=AI126134 /gi=3594648 /ug=Hs.100000 /len=446'' "
34458_at," Cluster Incl AA586894:nn68c06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1089034 /clone_end=3'' /gb=AA586894 /gi=2397708 /ug=Hs.112408 /len=443'' "
35822_at,"B-factor, properdin"
31610_at,"epithelial protein up-regulated in carcinoma, membrane associated protein 17"
32821_at," Cluster Incl AI762213:wi54d04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2394055 /clone_end=3'' /gb=AI762213 /gi=5177880 /ug=Hs.204238 /len=677'' "
33272_at," Cluster Incl AA829286:of08a01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1420488 /clone_end=3'' /gb=AA829286 /gi=2902385 /ug=Hs.181062 /len=559'' "
40672_at,kynureninase (L-kynurenine hydrolase)
40671_g_at," Cluster Incl AI148772:qc69h01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1714897 /clone_end=3'' /gb=AI148772 /gi=3677241 /ug=Hs.81771 /len=786'' "
33849_at,pre-B-cell colony-enhancing factor
1402_at,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
39043_at,"actin related protein 2/3 complex, subunit 1A (41 kD)"
39579_at,claudin 10
734_at," Mucin 4, Tracheobronchial "
35912_at,"mucin 4, tracheobronchial"
1497_at,"lymphotoxin beta receptor (TNFR superfamily, member 3"
1563_s_at,"tumor necrosis factor receptor superfamily, member 1A"
34884_at,"carbamoyl-phosphate synthetase 1, mitochondrial"
35275_at," Cluster Incl AL050025:Homo sapiens mRNA; cDNA DKFZp564D066 (from clone DKFZp564D066) /cds=(0,1569) /gb=AL050025 /gi=4884095 /ug=Hs.5344 /len=3993 "
36454_at,carbonic anhydrase XII
39317_at,cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)
36959_at,ubiquitin-conjugating enzyme E2 variant 1
33439_at,transcription factor 8 (represses interleukin 2 expression)
37279_at,GTP-binding protein overexpressed in skeletal muscle
36678_at,transgelin 2
2085_s_at,"catenin (cadherin-associated protein), alpha 1 (102kD)"
2069_s_at,"catenin (cadherin-associated protein), alpha 1 (102kD)"
41155_at," Cluster Incl U03100:Human alpha2(E)-catenin mRNA, complete cds /cds=(4,2799) /gb=U03100 /gi=414981 /ug=Hs.178452 /len=3526 "
41156_g_at," Cluster Incl U03100:Human alpha2(E)-catenin mRNA, complete cds /cds=(4,2799) /gb=U03100 /gi=414981 /ug=Hs.178452 /len=3526 "
41153_f_at," Cluster Incl AF102803:untitled /cds=(2,2722) /gb=AF102803 /gi=4092760 /ug=Hs.178452 /len=3668 "
32275_at,secretory leukocyte protease inhibitor (antileukoproteinase)
1629_s_at," Tyrosine Phosphatase 1, Non-Receptor, Alt. Splice 3 "
34198_at," Cluster Incl U12128:Human protein tyrosine phosphatase 1E (PTP1E) mRNA, complete cds /cds=(217,7689) /gb=U12128 /gi=557287 /ug=Hs.211595 /len=8287 "
903_at,"protein phosphatase 2, regulatory subunit B (B56), alpha isoform"
40425_at,ephrin-A1
39682_at,"sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)"
1276_g_at,RNA-binding protein gene with multiple splicing
38049_g_at,RNA-binding protein gene with multiple splicing
1052_s_at,"CCAAT/enhancer binding protein (C/EBP), delta"
33113_at,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
33944_at,amyloid beta (A4) precursor-like protein 2
36451_at," Cluster Incl AI743299:wg91b04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2372431 /clone_end=3'' /gb=AI743299 /gi=5111587 /ug=Hs.5288 /len=734'' "
1047_s_at,macrophage stimulating 1 (hepatocyte growth factor-like)
40406_at,"macrophage stimulating, pseudogene 9"
634_at,"protease, serine, 8 (prostasin)"
1930_at,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
38261_at,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
34796_at,translocating chain-associating membrane protein
41177_at," Cluster Incl AW024285:wt69d06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2512715 /clone_end=3'' /gb=AW024285 /gi=5877815 /ug=Hs.179882 /len=550'' "
41176_at,Cluster Incl AF052162:Homo sapiens clone 24655 mRNA sequence /cds=UNKNOWN /gb=AF052162 /gi=3360473 /ug=Hs.179882 /len=1344
39993_at,"phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)"
36623_at," Cluster Incl AB011406:Homo sapiens mRNA for alkalin phosphatase, complete cds /cds=(176,1750) /gb=AB011406 /gi=3401944 /ug=Hs.75431 /len=2510 "
35792_at,lysophospholipase-like
715_s_at,similar to rat integral membrane glycoprotein POM121
32893_s_at,gamma-glutamyltransferase 2
41868_at,gamma-glutamyltransferase 1
1411_at," D16154 /FEATURE=exons#1-7 /DEFINITION=HUMCYP11BB Human gene for cytochrome P-450c11, exon 3-9 "
41109_at,"complement component 4-binding protein, alpha"
38064_at,major vault protein
38429_at,fatty acid synthase
1882_g_at," Oncogene Aml1-Evi-1, Fusion Activated "
1881_at," Oncogene Aml1-Evi-1, Fusion Activated "
40409_at,aldehyde dehydrogenase 10 (fatty aldehyde dehydrogenase)
37402_at,"ribonuclease, RNase A family, 1 (pancreatic)"
41402_at,DKFZP564O0823 protein
39311_at,non-functional folate binding protein
534_s_at,folate receptor 1 (adult)
821_s_at,folate receptor 1 (adult)
37874_at,flavin containing monooxygenase 5
1371_s_at,"cytochrome P450, subfamily IIB (phenobarbital-inducible)"
40079_at," Cluster Incl AA156240:zl50c12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-505366 /clone_end=3'' /gb=AA156240 /gi=1727858 /ug=Hs.154737 /len=668'' "
33730_at,retinoic acid induced 3
33699_at,progastricsin (pepsinogen C)
34319_at," Cluster Incl AA131149:zo16d05.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-587049 /clone_end=5'' /gb=AA131149 /gi=1692640 /ug=Hs.2962 /len=464'' "
41383_at,"mucin 5, subtypes A and C, tracheobronchial/gastric"
33052_at,"phospholipase A2, group X"
36066_at,KIAA0828 protein
37669_s_at,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
32072_at,mesothelin
40685_at,aldehyde dehydrogenase 7
35207_at,"sodium channel, nonvoltage-gated 1 alpha"
41772_at,monoamine oxidase A
41771_g_at,Cluster Incl AA420624:nc61c12.r1 Homo sapiens cDNA /clone=IMAGE-745750 /gb=AA420624 /gi=2094502 /ug=Hs.183109 /len=533
41770_at,Cluster Incl AA420624:nc61c12.r1 Homo sapiens cDNA /clone=IMAGE-745750 /gb=AA420624 /gi=2094502 /ug=Hs.183109 /len=533
32593_at,KIAA0084 protein
927_s_at,"mucin 1, transmembrane"
38783_at,"mucin 1, transmembrane"
700_s_at," Mucin 1, Epithelial, Alt. Splice 9 "
38784_g_at,"mucin 1, transmembrane"
1083_s_at,"mucin 1, transmembrane"
34485_r_at," Cluster Incl M21868:Human polymorphic epithelial mucin core protein mRNA, 3 end /cds=(0,182) /gb=M21868 /gi=188857 /ug=Hs.118249 /len=275'' "
37405_at,selenium binding protein 1
41491_s_at,"ATPase, Class VI, type 11A"
38081_at,leukotriene A4 hydrolase
1346_at,metallothionein 3 (growth inhibitory factor (neurotrophic))
1662_r_at," Antigen, Prostate Specific, Alt. Splice Form 2 "
37004_at,"surfactant, pulmonary-associated protein B"
33383_f_at," Cluster Incl AI820718:ye38e04.y5 Homo sapiens cDNA, 5 end /clone=IMAGE-120030 /clone_end=5'' /gb=AI820718 /gi=5439797 /ug=Hs.226046 /len=511'' "
33325_at,Cluster Incl W26667:11a1 Homo sapiens cDNA /gb=W26667 /gi=1305733 /ug=Hs.184581 /len=783
39698_at,Cluster Incl U51712:HSU51712 Homo sapiens cDNA /gb=U51712 /gi=1255282 /ug=Hs.13775 /len=1110
34256_at,"sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase)"
38028_at,Cluster Incl AL050152:Homo sapiens mRNA; cDNA DKFZp586K1220 (from clone DKFZp586K1220) /cds=UNKNOWN /gb=AL050152 /gi=4884363 /ug=Hs.7974 /len=2821
34235_at,KIAA0758 protein
130_s_at,thyroid transcription factor 1
33754_at,thyroid transcription factor 1
33331_at,BENE protein
38459_g_at,cytochrome b-5
38458_at,cytochrome b-5
39345_at," Cluster Incl AI525834:PT1.3_06_D01.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI525834 /gi=4439969 /ug=Hs.119529 /len=951'' "
38790_at,"epoxide hydrolase 1, microsomal (xenobiotic)"
37021_at,cathepsin H
461_at,N-acylsphingosine amidohydrolase (acid ceramidase)
36938_at,N-acylsphingosine amidohydrolase (acid ceramidase)
39249_at,aquaporin 3
39248_at," Cluster Incl N74607:za55a01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-296424 /clone_end=3'' /gb=N74607 /gi=1231892 /ug=Hs.234642 /len=487'' "
37779_at,acid sphingomyelinase-like phosphodiesterase
37430_at,"arachidonate 15-lipoxygenase, second type"
33267_at,Cluster Incl AF035315:Homo sapiens clone 23664 and 23905 mRNA sequence /cds=UNKNOWN /gb=AF035315 /gi=2661077 /ug=Hs.180737 /len=1331
33374_at,complement component 2
40087_at,UNC13 (C. elegans)-like
36546_r_at,KIAA0542 gene product
39695_at,"decay accelerating factor for complement (CD55, Cromer blood group system)"
36658_at,KIAA0018 gene product
239_at,cathepsin D (lysosomal aspartyl protease)
37033_s_at,Cluster Incl X13710:H.sapiens unspliced mRNA for glutathione peroxidase /cds=UNKNOWN /gb=X13710 /gi=35387 /ug=Hs.76686 /len=1100
32715_at," Cluster Incl N90862:zb11b06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-301715 /clone_end=3'' /gb=N90862 /gi=1444189 /ug=Hs.172684 /len=605'' "
1984_s_at,X69549 /FEATURE=cds /DEFINITION=HSRHO2 H.sapiens mRNA for rho GDP-dissociation Inhibitor 2
38013_at,KIAA1288 protein
32909_at,aquaporin 5
38827_at,anterior gradient 2 (Xenepus laevis) homolog
41365_at,"mucin 5, subtype B, tracheobronchial"
36105_at,carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
33933_at,"epididymis-specific, whey-acidic protein type, four-disulfide core; putative ovarian carcinoma marker"
41867_at,Cluster Incl AF055009:Homo sapiens clone 24747 mRNA sequence /cds=UNKNOWN /gb=AF055009 /gi=3005731 /ug=Hs.13456 /len=1800
206_at,cathepsin E
271_s_at,cathepsin E
38801_at," Cluster Incl AI742846:wg46h09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2368193 /clone_end=3'' /gb=AI742846 /gi=5111134 /ug=Hs.9006 /len=826'' "
39354_at,"anti-oxidant protein 2 (non-selenium glutathione peroxidase, acidic calcium-independent phospholipase A2)"
37003_at,CD63 antigen (melanoma 1 antigen)
41294_at," Cluster Incl AJ238246:Homo sapiens mRNA for sarcolectin /cds=(61,1470) /gb=AJ238246 /gi=4688899 /ug=Hs.23881 /len=1831 "
289_at,signal transducer and activator of transcription 3 (acute-phase response factor)
39708_at,signal transducer and activator of transcription 3 (acute-phase response factor)
38582_at," Cluster Incl AI961220:wt15b04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2507503 /clone_end=3'' /gb=AI961220 /gi=5753933 /ug=Hs.181286 /len=510'' "
36681_at,apolipoprotein D
38441_s_at,"membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)"
41306_at," Cluster Incl AA004795:zh96a06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-429106 /clone_end=3'' /gb=AA004795 /gi=1448292 /ug=Hs.239696 /len=568'' "
36488_at,"EGF-like-domain, multiple 5"
38816_at,"transforming, acidic coiled-coil containing protein 2"
38054_at,hepatitis B virus x-interacting protein (9.6kD)
41268_g_at,KIAA1049 protein
41267_at,KIAA1049 protein
37742_at,"galactosidase, beta 1"
39033_at,Cluster Incl Z78368:HSZ78368 Homo sapiens cDNA /clone=3.142-(CEPH) /gb=Z78368 /gi=1495141 /ug=Hs.11441 /len=1143
36194_at,low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)
36945_at,endoplasmic reticulum lumenal protein
33409_at," Cluster Incl AA158243:zo76c01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-592800 /clone_end=3'' /gb=AA158243 /gi=1733038 /ug=Hs.227729 /len=619'' "
34835_at,nicastrin
37639_at,"hepsin (transmembrane protease, serine 1)"
34903_at," Cluster Incl AI017382:ou92e06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1635298 /clone_end=3'' /gb=AI017382 /gi=3231718 /ug=Hs.127986 /len=578'' "
36543_at,"coagulation factor III (thromboplastin, tissue factor)"
41542_at,zinc finger protein 216
843_at,"protein tyrosine phosphatase type IVA, member 1"
33413_at,"protein tyrosine phosphatase type IVA, member 1"
1717_s_at,baculoviral IAP repeat-containing 3
32134_at,testin
1812_s_at," Proto-Oncogene Met, Alt. Splice Form 2 "
1609_g_at,Hepatocyte Growth Factor Receptor
35684_at,met proto-oncogene (hepatocyte growth factor receptor)
36201_at,glyoxalase I
39341_at," Cluster Incl AJ001902:Homo sapiens mRNA for TRIP6 (thyroid receptor interacting protein) /cds=(72,1502) /gb=AJ001902 /gi=2558591 /ug=Hs.119498 /len=1653 "
40928_at,Cluster Incl W26496:30d2 Homo sapiens cDNA /gb=W26496 /gi=1307195 /ug=Hs.187991 /len=825
37001_at,"calpain 2, (m/II) large subunit"
31846_at," Cluster Incl AW003733:ws16b04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2497327 /clone_end=3'' /gb=AW003733 /gi=5850649 /ug=Hs.15114 /len=839'' "
35350_at,B cell RAG associated protein
34876_at,carboxypeptidase D
1057_at,cellular retinoic acid-binding protein 2
41783_at,cellular retinoic acid-binding protein 2
40516_at,aryl hydrocarbon receptor
38132_at,serum constituent protein
34898_at,amphiregulin (schwannoma-derived growth factor)
1911_s_at,"growth arrest and DNA-damage-inducible, alpha"
32818_at,"hexabrachion (tenascin C, cytotactin)"
32610_at,LIM domain protein
37310_at," Cluster Incl X02419:H.sapiens uPA gene /cds=(119,1414) /gb=X02419 /gi=37601 /ug=Hs.77274 /len=2344 "
36585_at,ADP-ribosylation factor 4
37351_at,uridine phosphorylase
AFFX-HSAC07/X00351_M_at,"actin, beta"
AFFX-HSAC07/X00351_5_at,"actin, beta"
32318_s_at,"actin, beta"
AFFX-HSAC07/X00351_3_at,"actin, beta"
39338_at," Cluster Incl AI201310:qf71b11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1755453 /clone_end=3'' /gb=AI201310 /gi=3753916 /ug=Hs.119301 /len=655'' "
35367_at,"lectin, galactoside-binding, soluble, 3 (galectin 3)"
1867_at,CASP8 and FADD-like apoptosis regulator
37403_at,annexin A1
39411_at,DKFZP434J214 protein
41193_at,dual specificity phosphatase 6
34699_at,CD2-associated protein
36101_s_at,vascular endothelial growth factor
1953_at,vascular endothelial growth factor
36100_at,vascular endothelial growth factor
33354_at," Cluster Incl AA630312:ac08f05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-855873 /clone_end=3'' /gb=AA630312 /gi=2552923 /ug=Hs.21806 /len=685'' "
34678_at,Cluster Incl AL096713:Homo sapiens mRNA; cDNA DKFZp564E1616 (from clone DKFZp564E1616) /cds=UNKNOWN /gb=AL096713 /gi=5419845 /ug=Hs.234680 /len=4827
31888_s_at,tumor suppressing subtransferable candidate 3
34793_s_at,plastin 3 (T isoform)
885_g_at,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
884_at,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
2020_at,cyclin D1 (PRAD1: parathyroid adenomatosis 1)
38418_at,cyclin D1 (PRAD1: parathyroid adenomatosis 1)
2017_s_at,cyclin D1 (PRAD1: parathyroid adenomatosis 1)
32640_at,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor"
33305_at,"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1"
